question,answer
bạn thấy tôi có đẹp không,một_hai nghiêng nước nghiêng thành sắc đành đòi một tài đành hoạ hai
rảnh làm gì,nghe nhạc
gia_đình của bạn có bao_nhiêu thành_viên,gia_đình mình có 5 thành_viên
bạn có thường_xuyên tập_thể_dục,mỗi tuần mình sẽ đi đánh cầu_lông 1 lần
làm gì,it
trùng_hợp thật tôi học khoa_ngoại_ngữ_ngành ngôn_ngữ trung,rất vui được biết bạn
bạn có biết giặt đồ hay lau nhà rửa chén không,mình đang tiến_hóa dần thuật_toán có_hạn mình chỉ làm các tác vụ cơ_bản thôi cảm_ơn
sao ở nhà không chán hay_vậy,tại_sao phải chán ở nhà là sướng nhất
cậu đạt được thành_tích gì trong học_tập,tớ đạt được danh_hiệu học_sinh giỏi cấp quốc_gia
học_phí khác_biệt thế_nào ạ,chất_lượng cao học_phí cao hơn và chất_lượng sẽ tốt hơn nhiều em nhé
em mua đồ bơi ở đâu ạ,em liên_hệ tại phòng thể_dục thể_thao sau sân bóng em nhé
bạn có hay xem phim nhạy_cảm không,có lúc mình ở một_mình
cho mình hỏi gia_đình bạn có bao_nhiêu người,gia_đình mình có 5 người
fe_hóa_trị mấy,hóa 0 điểm đừng hỏi
cho mình xin địa_chỉ nhà của bạn,không bạn ơi cuộc_sống là nhiều khi không nên biết quá nhiều điểu về nhau
về quê tao chơi không,được
quê mày đặc_sản là gì,nho
tao buồn quá,sao vậy
coi phim xong mình đi dề luôn,sớm hơn tí đi 4 rưỡi tới 6 giờ được không
bạn có anh_chị_em không,có chứ
tại bạn ế,ùi ui
bạn có yêu thích môn thể_thao gì không,mình đặc_biệt yêu thích bộ_môn cầu_lông
bạn đã được thành_tích gì trong trường,có_học đâu mà có
xem hoa ở đâu,vườn_ươm đà_lạt
quần này có size 32 không,có
cho mình hỏi bạn tên gì,tớ tên đông
ngày_mai cậu về quê ăn tết à,đúng rồi cậu mai tớ về huế
mày ở đâu,ở nhà
hiện_tại ở đâu,tphcm
mình tên là minh,thế minh học trường nào thế
bạn thường đi đâu lúc rảnh_rỗi,mình thường ở nhà
cho em hỏi học_phí trường mình có cao không ạ,trường mình học_phí cũng bình_thường thôi em
bạn nghĩ gì về đất_nước của chúng_ta,đất_nước chúng_ta rất xinh_đẹp
ở kí_túc_xá hay ở ngoài,kí_túc_xá
phim hôm_qua thế_nào,bình_thường
trường bạn có view sống ảo nhiều không,trường mình chỗ nào cũng có_thể chụp hình bạn nhé
ở huế quê cậu có gì nổi_tiếng vậy,chỗ quê mình có vài món đặc_sản nổi_tiếng xứ huế và gần một_số địa_điểm du_lịch
ông có nghĩ ' ăn_không ngồi rồi ' có là một nghề_nghiệp,no idea
sao cậu biết hay thế cậu theo_dõi tớ à,nhìn là biết
trường bạn có những khoa nào,dược điện - điện_tử kế_toán tài_chính marketing
mặc đồ concept nào,trắng_đen
tao thất_tình,đi nhậu nhé
ngành gì,công_nghệ thông_tin
bạn đang học trường nào đó,minh đang là sinh_viên năm 3 trường đại_học tôn đức thắng
bao_nhiêu người trong 1 phòng,3 người
còn bạn tên gì bạn ở đâu,mình tên là khanh
mà ăn_ở đâu mới được,qua haidilao hay gogi đi
có hay chạy bộ không,không
cậu dạo này đi làm ổn không,cũng ổn lắm ây cậu
trường bạn có nhiều gái xinh không,nhiều
có chỗ để xe không,ở đây toàn đi xe_buýt có xe thì để trong phòng ngủ trên gác
sếp dễ không,dễ
cho đi cùng nữa,oke
áo này có một màu à bạn có màu khác không ạ,áo loại này về ba màu nhé bạn màu trắng_đen xanh đen
trong lớp bạn muốn đấm ai nhất,nguyễn thị bạch mai á
hồi đó ông thích làm gì á,hồi đó thích làm kỹ_sư hoặc chính_trị_gia
vậy khi nào bạn rảnh chúng_mình cùng đi chơi nha,ok vậy mình chủ_nhật tuần này chúng_mình đi đi
chị nghĩ mới_đầu quen thì nên đi đâu chơi bây_giờ,chị thì sẽ đi uống trà sữa rồi ngồi nói_chuyện cho hiểu đối_phương
bạn có thường quan_tâm đến họ_hàng của bạn không,mình có
bạn là sinh_viên à,ừm mình sinh_viên năm 3 của trường đh tôn đức thắng
nè giúp tớ khiêng cái sofa này ra ngoài đi,tớ đang bận cậu tự khiêng đi
bạn tên gì,mình tên hạnh
cao bao_nhiêu,1m8
bạn_bè_bạn ở đâu,đứa ở cà mau vài đứa sài_gòn mấy đứa nữa ở miền tây
ai vậy,con nhỏ ở chỗ làm thêm
bạn con_một đúng không,không mình là còn thứ
hay gặp bạn_bè không,không
oh vậy thường đi đâu chơi,đi dạo phố với trung_tâm thương_mại
dạ cho em hỏi có bao_nhiêu chương_trình dạy_học ở tdtu,trường có 3 hệ chính là tiêu_chuẩn chất_lượng cao và campus
tối hẹn 23 giờ tại galaxy films nhé,ok mình sẽ chờ ở đó
mấy nay về nhà có vui khum,không
mày thích ai vậy,không nói đâu
thiệt luôn nhây_vậy,tại bạn nhây trước
ở đó có chỗ phơi đỗ hay để xe gì không,thoải_mái phơi đỗ rất nhanh khô và có chỗ để xe cho mỗi người nhé
bạn có người_yêu chưa,mình có người_yêu rồi
bạn muốn ăn gì trong lúc xem phim,ăn gà rán
bạn cho mình hỏi món ăn ưa_thích của bạn là gì,món ăn ưa_thích của tớ là bánh trán trộn
lì_xì tao,không miễn bàn
mình có rồi,crush bao_lâu rồi
chào shop bên mình có bán giày sneaker không ạ,bên mình cung_cấp mọi loại giày nhé bạn
đương_nhiên là có rồi_đây nè,ôi cảm_ơn nhiều cái gì trong đây thế
quê ngoại bạn ở đâu,quê ngoại mình ở tiền_giang
học_phí có cao không,học_phí tớ thấy xứng_đáng với chất_lượng học_tập
mày có trà xanh không,chưa có người_yêu
nợ nhiêu môn rồi,nhiều
nhân_viên phục_vụ ở đó như thế_nào,nhân_viên làm_việc rất chuyên_nghiệp và nhiệt_tình
bạn là nam hay nữ,nam
nhà của bạn ở đâu trong cái đất_nước chữ s này,nhà tuôi tọa_lạc đâu_đó á bot tự tìm iii
trường bạn ở đâu,trường mình ở quận 7
cho mình hỏi bạn quê ở đâu,mình quê ở tiền_giang
còn mày có đi đâu không,năm nay tao đi đà_lạt
quê bạn đẹp không,đẹp lắm bạn
cuối tuần có rảnh không bạn,tui rảnh nè
nhà mình hết bia rồi bạn nhớ mua thêm bia nhé,mình mua ngay trên đường sang nhà bạn
thấy huawei hay iphone cũ cũng được lắm mày,ừ mày
chời ơi là chời ngoài xem phim ra cậu còn làm gì không,thường thì mình hay ra ngoài chơi với bạn á
ừm thế tối mai mình sẽ qua đón cậu được không,ừ mình sẽ đợi cậu tại công_viên gần nhà nhé
anh_chị_em,còn đi làm
mấy giờ vậy,chắc tầm 9 giờ
có,còn ở quê không
dạy chuyên_ngành gì,cntt
bạn tin rằng bản_thân làm được chứ,tôi chắc_chắn chỉ cần cố_gắng tôi có_thể làm được
tết này mày làm gì quang,chơi game ăn ngủ nghỉ
khi nào cửa_hàng có khuyến_mãi_vậy,dạ có khuyến_mãi vào những dịp lễ ạ
nhiêu anh_chị_em,hông có ai
ngày_mai chúng_mình có_thể đi shoping để mua sẵm một_số vật_dụng cá nhânbạn đi cùng chứ,dĩ_nhiên rồimình hẹn nhau ở đâu bạn nhỉ
nè hay bọn mình về đi đã trễ lắm rồi,nhưng lỡ lát nữa cậu ấy tới không thấy chúng_ta thì sao
trường mình ktx sạch không,quá sạch là đằng khác
xem phim không,đi
haha,mày đi làm rồi hả
mày có bao_nhiêu bạn,nhiều lắm
bạn cho mình hỏi ở nơi làm_bạn có hoà_đồng với đồng_nghiệp không,ở nơi làm tớ có hoà_đồng với đồng_nghiệp
bún đậu quán nào là ngon nhất,mình nghe nói bún đậu tiến hải là ngon nhất
bạn đang đi học hay đã đi làm,mình đang đi học
chừng nào mày rảnh,ngày nào cũng rãnh
mình tới quán luôn hay chờ nhau ở đâu_vậy,tớ nghĩ tới quán luôn nhé
tết được nghỉ nhiều sao bạn không đi du_lịch,mình muốn ơ nhà với ba mẹ
ừ rũ thêm ai không,để kêu thằng em di_cùng
áo bạn đắt không,không
hiện_tại bạn đang học trường nào thế,hiện_tại tui đang học tại trường đại_học tôn đức thắng
ông có ở gần đây hong,nhà tui cách trường 9km lận
cuối tuần có đi đâu chơi không,ở nhà ngủ
mày có đi làm không,có
mua đồ chưa,mua rồi
giáo_viên sao,tùy_người
công_việc lập_trình_viên như thế_nào,lập_trình_viên là một người lập_trình ra nhưng gì hoạt_động bên trong một ứng_dụng
mày thích uống gì,trà_lipton
mang tiền chưa,rồi
nha trang đi,thôi xa lắm
đi ăn_không,ok
tết tây thì sao bạn,nghỉ luôn bạn
đang làm gì,sinh_viên
hiện tại gia_đình của bạn ở đây luôn hay_là ở quê vây,mình ở sài_gòn cùng gia_đình từ nhỏ
bạn ở xa trường thế vậy bạn đi học bằng phương_tiện gì,mình tới trường bằng xe_máy
rồi mỗi lần bạn rảnh thì đều ngồi chơi game à,ừ đúng rồi cái game ấy chơi vui lắm
bạn có bạn thân không,có nhiều lắm
bạn có muốn đi chơi vào tuần này,tôi không muốn ra ngoài
bạn tính sao rồi,ổn
bạn học ngành gì,mình học khoa_học máy_tính
giờ mày muốn gì,tao muốn tiền
bạn_bè mày đều ở quê,không hẳn
thời_tiết sao,trời đẹp
vậy đi ăn lẩu hải_sản nha,ok nhưng phải thêm thịt nha
bạn ơi bạn có biết chỗ nào bán đồ rẻ không,mình cũng không rành nữa bạn vào mấy shop online xem thử coi sao
nghề_nghiệp của ba bạn là gì,báo tại_gia
bạn làm tại đâu,minh làm tại công_ty quốc_tế dvs tại chi_nhánh hcm
tết này làm gì,chơi là chính
mày cao bao_nhiêu mà nhìn lùn_vậy,mày ngứa mỏ à
xem phim không,đi
cậu có phải là học_sinh hay không,không tôi không phải là học_sinh
tớ còn rất thích tiểu_thuyết nữa,thật thú_vị
nhà bạn ở đâu,ở thành_phố hcm
vậy khi ăn thì thường ăn những món gì,măn lẩu món lề_đường
làm_sao có người_yêu,bạn phải thành_đạt trước đã
bạn cho mình hỏi tên bạn gì,tên tớ là lan
xem xong đi ăn lẩu băng_chuyền không,lẩu băng_chuyền à nghe nhức nách đấy chốt luôn mày ơi
bạn yêu vì tình hay tiền,cả hai
mình thì hơi lười vậy bạn hay chơi những môn nào,mình thường đá bóng và bơi_lội
bạn biết crush bạn cao bao_nhiêu không,mình không rõ nữa
bạn có bị mắc covid không,mắc covid thì chả việc gì ngồi đây
bạn có chơi những môn thể_thao mạo_hiểm không,không mình không chơi những môn thể_thao mạo_hiểm
người_yêu bạn là trai hay gái,gái
giảng_viên trường mình thế_nào ạ,giang viên trường được thỉnh_giảng và giáo_viên cơ_hữu trường
thường xem thể_loại gì,hành_động
bạn quê ở đâu vậy_nhân,mình quê ở sài_gòn nhé bạn
làm chuyến cuối năm đi,vote đà_lạt
lại dễ_thương nũa chứ biết không,ừm
sở_thích của bạn là gì,mình thích hút thuốc và ăn vặt
quan_điểm bạn_bè của mày là gì,đi ăn chung là được
bạn đi chích ngừa chó dại chưa,tui không có bị dại tui bị điên
nước mình có chổ nào đẹp không,nước chúng_ta có rất nhiều danh_lam thắng_cảnh
hiện_nay ở đó có gì mới không,nghe nói có xây thêm hồ bơi chỗ câu cá chắc cũng thú_vị lắm
anh họ của bạn có còn đang theo học không,không
muốn ế tiếp à,nồ nố nô
okay cậu,ở đó có chỗ nào để đi chơi không
bây_giờ đi xem phim với mình không,xin_lỗi nha mình đang bận
chào cậu cuối năm nay cậu tốt_nghiệp hả,ừ cuối năm nay nhưng mình đi làm được một năm rồi
mày giờ đang làm ở đâu_thế,à tao đang làm bên fpt nè
bạn năm mấy,năm nhất luôn hahaha
bạn hiện_tại đang giữ chức_vụ gì thế,mình đang là sinh_viên tại trường đại_học tôn đức thắng
bạn đang làm gì,mình là sinh_viên
cho mình hỏi quê của bạn ở đâu,quê của mình ở hà tây ấy cậu
từ nhà tới trường xa không,xa
haha chớ tính mua loại nào,chắc mua tầm 5 triệu đổ lại thôi
hôm_nay bạn muốn đi ăn_ở đâu,mình ăn_ở nhà_hàng đối_diện đi
bạn là sinh_viên khoa nào,mình là sinh_viên khoa công_nghệ thông_tin
gia_đình đang ở dưới quê hay trên sài_gòn,ở dưới quê
bạn có nhiều anh_chị_em họ không,ừ mình có cũng khá nhiều anh_chị_em họ
tên gì,tiến
bạn sinh ra ở đâu,mình sinh ra ở phan_thiết bình_thuận
cậu yêu thích một người như thế_nào,tớ thích một người ấm_áp và tâm_lí
lúc rãnh bạn thường làm gì,mình thường đi cafe với bạn_bè khi rãnh
bạn sinh ra ở đâu,cầu kè trà_vinh
có đi xem phim không,có
thích đi du_lịch không,có
mày muốn đi đâu vơi crush,đi ăn gì đó ngon
khi đi du_lịch thì bạn chú ẩm_thực hay phong_cảnh,theo mình thì chính là ẩm_thực
đón giao_thừa với ai,gia_đình
đi ăn_không,đi chứ
phòng_ốc ổn không em,ổn lắm chị còn yên_tĩnh nữa nên ok lắm
lúc rảnh bạn thường làm gì,mình thường chơi game
chi_phí 1 tháng bao_nhiêu tiền,chi_phí 1 tháng 4 triệu bao luôn phí tiền điện nước
họ_hàng của mày không ai ở gần đây à,đi qua nước_ngoài du_lịch hết rồi
làm đâu,quận 9
đi chơi không,ok đi chơi đi buồn quá nè
đi đâu giờ,đà_lạt
nhà bạn ở đâu,nhà mình ở quận 8
oh vui_vậy,vui chứ
bạn học đại_học nào vậy,mình học đại_học tôn đức thắng
tên gì,huyền
lúc rảnh bạn thường làm gì,mình thường xem phim lúc rảnh
người_yêu bạn và bạn có hạnh_phúc không,mình rất là hạnh_phúc nhen
đang làm gì,ăn_bám gia_đình
mẫu người bạn thích là như thế_nào,xinh_đẹp đáng yêu
mày có nhiều bạn ở quê không,tao cũng có một_số người bạn chơi từ hồi cấp 3 tới giờ
có phim nào về thể_loại tình_cảm hay không,phim crash landing on you khá nổi_tiếng
vì tháng này lớp mình định tổ_chức liên_hoan cuối năm mà,à ra là vậy mình biết rồi cảm_ơn nhé
nhưng tui không hiểu sao lại là nhím,không phải ai cũng có_thể chiều_chuộng nó cả
nghề_nghiệp là gì,sinh_viên
ví_dụ tam_giác_vuông có 2 cạnh 3cm và 4cm vậy cạnh_huyền là bao_nhiêu,5cm
chủ nhà dễ không,không
về an_ninh phòng trọ mình muốn hỏi nó có tốt không,an_ninh ổn ít trộm_cắp
ê cậu đang làm gì đó xem phim à,không mình đang làm một_số bài_tập
bạn ăn cơm chưa,sáng nay mình ăn rồi
nghe nói người ngành mình thích chơi game lắm,thình thoảng cũng có chơi game
bạn có hay sắm_sửa cho bản_thân không,tôi chỉ sắm_sửa khi thấy món đồ đó thật_sự cần_thiết
bạn thích chơi thể_thao không,thích
quê_hương mày có bài hát gì,nhiều lắm
m đã tốt_nghiệp chưa,rồi
ở nhà được cái ngủ sướng thôi,tuần sau là một tuần khá nhiều việc lớn đó
tết nhà cậu có nấu bánh chung không,không có
rảnh hong,rảnh
tết này mình nên đi chơi ở đâu,mình thích đi chùa cuối năm
trường mình có thực_hiện trang_phục truyền_thống không ạ,có em nhé nam áo sơ_mi trắng nữ áo_dài vào thứ 2 và thứ 5
bạn chơi game có hay không,mình là vua trò_chơi bạn nhé
đi làm không,làm_biếng lắm
gia_đình bạn có bao_nhiêu người,gia_đình mình có 5 người
bạn học ngành gì,mình học ngành công_nghệ thông_tin
điện_thoại nào tốt nhất hiện_nay vậy bạn,dạ có rất nhiều dòng điện_thoại tốt ạ
bạn có nhiều bạn_bè không,đủ xài bạn ei
đi chơi game với tụi tôi không,không đi đâu
sao anh không nghe điện_thoại của em,điện_thoại anh bị mất sóng nên không nhận được thông_báo cuộc_gọi
có nhà_xe không,có
bạn thường ở đâu khi rảnh,mình thường ra quán cà_phê
chỉ tao cua đi,chịu
nhà bạn rộng bao_nhiêu,mình cũng không nhớ
đang dùng laptop hãng nào,ausus
nhà bạn có vào nhiêu người giúp_việc,không có
đăng_ký ktx,tìm_hiểu form trên page
bạn đi mất bao_lâu_vậy,mình đi xe tầm 7 tiếng đồng_hồ
máy_tính asus rog có phù_hợp để học_tập không,tớ nghĩ máy_tính đó phù_hợp với mọi nhu_cầu
bạn có từng làm từ_thiện chưa,rồi nha
mày học ở đâu,đại_học tdt
môn thể_thao mà bạn hay chơi là môn nào,yoga cầu long
sắp tới bạn có dự_định đi đâu,dịch_bệnh đang hoành_hành mình nghỉ nên ở nhà cho an_toàn
bạn có sở_thích nào,tui có nhiều sở_thích như đá banh xem phim nghe nhạc đi chơi
khi nàocó thể dọn đến,vào tuần sau
bạn và người_yêu có thường đi chơi xa không,có nhưng gần đây thì ít có_lẽ do dịch
ngoài ngủ ra thì làm gì,đi uống trà sữa với bạn_bè
trưa đi ăn cùng không,ok
net xong đi xem phim không,ok phim gì bro
sở_thích của bạn là gì,thích gái
đang đi làm à,ừ làm công_ty
bạn có muốn mua phụ_kiện điện_thoại chưa,muốn
bạn có thích chơi game không,cómình thích chơi lmht
đà lạt không,đi liền
mày tên gì,diiko tui gay
ăn_ở đâu bây_giờ,kfc gần nhà
bạn ơi tôi mới đi xem người nhện phần 3 về bạn xem chưa,tôi cũng mới xem_ngày hôm_qua bạn
hôm_nay có đi tiết học gì không vậy_an,từ từ để tao kiểm_tra lại đã
hôm_nay mình đi xem phim tại cgv nhé,ok cậu
mẫu người_yêu như nào,quan_tâm và yêu_thương tao
bạn có cần tư_vấn gì không ạ,mình đang cần 1 con laptop gaming
bạn thích người trầm tính không,đó là mình chứ ai
bố_mẹ bạn làm công_việc gì,buôn_bán
đôi giày này bao_nhiêu,3 tr
bạn thích nhất ăn gì,thịt sườn nướng
ăn gì chưa,ăn rồi còn bạn
ngành học,công_nghệ thông_tin
bạn có muốn thử vận may vào việc chơi đề,mình không muốn cờ_bạc
nay mình có chương_trình sale gì không ạ,hiện chưa có chương_trình sale gì nha bạn
bạn có đang yêu,mình chỉ yêu bản_thân
bạn có_học nlp khôngtại sao bạn lại chọn môn đómôn đó khó không,mình có_học nlptại môn đó thú vịmôn này không khó
ở đâu đẹp mày,đà_nẵng
sao vậy,hết tiền
học giỏi nhất môn gì,tiếng việt
giờ mày đi học hay đi làm,đi học
vậy mình đặt_cọc trước bao_nhiêu vậy,đặt trước 1 tháng là được rồi
bạn tên gì,mình tên long
bạn thường đi đâu chơi với bạn_bè,cà_phê
dọn_dẹp nhà chưa,rồi
nhà bạn ở đường nào,mới nói ở trên đó
bạn muốn chơi game gì nè,game gì cũng được
tao muốn mua áo sơ_mi thì nên mua kiểu gì,ốm thì mua áo tay dài mập thì mua áo tay ngắn
dạo này tao chịu_khó tập thể_thao với giảm cân nên khỏe hơn hẳn,thích nhỉ chắc tao cũng phải chơi môn thể_thao nào đó thôi
cho mình hỏi thông_tin tết âm_lịch vào tháng mấy dương_lịch,tháng 2
thích về du_lịch,cách quê bao_xa
mầy đi top đi,vậy mầy lo mà gánh tao nha
okie chốt đơn,okie
quê bạn nghe nói có dịch bạn có tính về ăn tết không,mình không biết nữa chắc mình sẽ về
à vậy hả,ừm trong đó có cuốn sách là darkhold đỉnh lắm
học ngành gì,công_nghệ thông_tin
bạn có thường chơi thế thao lúc rảnh không,đi bơi
bạn có muốn đi đâu chơi với người_yêu không,nếu có thì mình sẽ chọn đà_lạt
sở_thích mày sao,thích phim đồ ăn thể_thao
vậy chứ mày định chừng nào mới có bồ,giờ tao cũng chưa biết nói_chung có tiền đã
bạn có xài tiền nhiều không,1 triệungày
cậu muốn đi hai người hay muốn rủ thêm bạn nữa cho vui,tớ sao cũng được
mình tên hải bạn tên gì nhỉ,à mình tên phương
bạn có hay đi ra ngoài ăn_uống không,có mình hay đi ăn với bạn_bè
bạn định đi vào dịp nào,mình dự_định sẽ đi nhân_dịp nghỉ_hè
quê của bạn ở đâu,long_an
này vải gì thế,dạ cotton
tuần sau đi coi phim không,để xem_lại côi rãnh không
tết này bạn có dự đình đi du_lịch không,có nhưng phải theo_dõi tình_hình dịch_bệnh
siêu_thị ở gần,có
vậy chắc là đi gần lắm phải không,từ thành_phố chắc là đi hơn 1 tiếng
khoa mình có nhiều trai đẹp không chị,khoa mình bị chị uốn sắp cong hết rồi em ơi đẹp xấu gì nữa
bạn đang ở xa gia_đình à,yup
cậu có thích đi xem phim hay đi chơi game chi đó không,tớ thích đi xem phim nha
ở đâu thì rẻ hơn,tùy
hùng này mày muốn thuê nhà ở đâu,mình thuê phòng ở đường nguyễn oanh quận gò_vấp
nha trang có đặc_sản gì không,cậu có_thể thử mực và ốc
bạn học lớp mấy,mình học đại_học rồi
bạn đang học ngành gì,kế_toán
đi với ai vậy,đi với nhóm bạn thân trên đại_học
bạn thân của bạn là ai,là bạn hay chơi với tôi
bạn có crush ai khác không,có mình có crush một người
tớ muốn mua quần_áo tết,mua áo_dài đi
bạn học trường nào,mình học trường đh tôn đức thắng
thế thôi tụi mình ở nhà nhé,ok
có dự đi du_lịch,có
quê_quán,thành_phố hồ chí minh
đặc_sản là gì,lạp_xưởng tươi gạo nàng thơm chợ đào dưa_hấu
đi làm vui không,vừa vui vừa mệt
ai vậy cậu,con nhỏ ở chỗ tớ đang đi làm thêm
người_yêu của bạn đẹp không,rất chi là đẹp
bạn có khẩu_vị như thế_nào,không quá cay là được
môn thể_thao yêu thích nhất là gì,môn nào cũng thích
gia_đình của bạn có tất_cả bao_nhiêu người thế,gia_đình của mình có tổng_cộng 6 người nhé
ông yêu ai,không yêu ai
mấy tiếng một ca làm,5
thích ăn gì,fastfood
xem ở đâu,hùng vương plaza
cho mình hỏi thông_tin quê bạn có di_sản văn_hóa gì,quan_họ
điều gì giữ_chân được các du_khách khi đến đây,có nhiều cơ_hội học_tập và làm_việc và sự nhiệt_tình của người dân
quan_điểm sống của bạn như thế_nào,sống cho bản_thân không phải sống vì người khác mặc_kệ lời thiên_hạ nói
đo mắt_kính ở đâu,bệnh_viện điện biên_phủ
họ_hàng của bạn có ở gần đây,họ_hàng của mình có ở gần
sắp đến hè rồi bạn có định đi đâu chơi không,tui định đi du_lịch mà chưa quyết_định được địa_điểm cụ_thể
bạn có cảm_thấy áp_lực hay khó_khăn trong việc học_tập không,tất_nhiên là có nhất_là khi vào mùa deadline hoặc mùa thi
con_trai hay con_gái,con_trai
bạn có ăn_chơi không,thỉnh_thoảng
có bồ chưa,có rồi nha_hihi
tao là người mới mong được giúp_đỡ,ừ
khi nào đi chơi không lâu rồi không có cái tin nhắn nào,lên lịch liền đi chứ nói cái gì
công_việc mày ổn không,cũng bình_thường
tới đó rồi mua bắp nước luôn ha,okay luôn nhá
tình_trạng hôn_nhân của bạn như thế_nào,hiện_tại mình đã có người_yêu rồi
bạn định thuê nhà ở đâu,mình định thuê ở gần trường
quê_quán bạn ở đâu,quê tôi ở gia_lai
đà lạt có gì vui,có cảnh đẹp không_khí tốt
hôm_nay đi học có gì vui không em,dạ vui lắm anh
phượt 3 miền không,tiền đâu
mày thích ăn gì,thịt bò
bạn thích xem thể_loại phim nào,mình thích xem phim kinh_dị
bạn thích mẫu người như thế_nào,ấm_áp thông_minh
vậy chắc đồng_ruộng nhiều,ừm có cả biển nữa
mình nghĩ tầm khoảng 10 triệu,chúng_ta sẽ đi bằng cái gì
sao trông bạn buồn_thế mới chia_tay người_yêu hay bị crush từ_chối,ừ hôm_qua mình mới tỏ_tình với crush và bị cô ấy từ_chối
mặt_hàng này shop có cấu_hình cao hơn không,hiện shop đang cung_cấp 3 loại cấu_hình khác nhau cho mặt_hàng này
bạn có ở chung với ai không,mình ở chung với 3 bạn khác
que huong cua ban a,khong que huong cua toi o viet nam
bạn là con mấy trong gia_đình,mình là con đầu trong gia_đình và có một em_gái
nhưng theo mình vẫn nhờ vào sự kiên_trì là nhiều nhất,nhờ sự kiên_trì ư
làm được bao_lâu rồi,gần 2 năm
bạn đang học_tập hay làm_việc thế,mình đang học ở tdtu á bạn
mặc áo đen với quần gì thì được,mặc mấy quần màu sáng là ok
cho mình hỏi thông_tin quê bạn nằm ở miền nào,bắc
áo_dài cách_tân hay truyền_thống theo cậu tớ sẽ hợp với cái nào hơn,cách_tân
cho em hỏi bao_nhiêu tín_chỉ thì được tốt_nghiệp vậy ạ,tùy thuộc vào từng ngành mà sẽ quy_định số_lượng tín_chỉ tối_thiểu để tốt_nghiệp em nhé
làm thích không,không
mua gì khi shopping,quần_áo đồ điện_tử
các anh_chị sinh_viên trường mình có gì khác_biệt anh nhỉ,sinh_viên của tdtu có 5 đặc_điểm nhận_dạng đó là kỉ_luật lễ_phép chuyên_nghiệp sáng_tạo phụng_sự
tao buồn quá tâm_sự với tao đi,tự nói_chuyện một_mình đi
tớ muốn rủ cậu đi ăn tối cậu có rảnh không,tớ rảnh nha
vậy cơ_sở vật_chất thì như thế_nào vậy,cơ_sở vật chât khỏi chê trường có có thư_viện xin nhất trong các trường đại_học
chuyên nghành nào,khoa_học máy_tính
giáo_viên sao,giáo_viên ổn
công_việc của bạn có vượt khả_năng không,mình nghĩ là ổn
gì nữa không,giày chạy bộ
chi_nhánh nào ku,hội_sở
có béo phì không,có
bạn biết mãi_mãi là bao_lâu không,không tính được mãi_mãi không phải là đơn_vị đo_lường thời_gian
bạn đang học ngành gì vậy,tôi đang học quản_trị kinh_doanh
đồng_hồ mới ra_mắt có muốn coi thử không,ok
sở_thích có vô_bổ không,không
tối nay 9h nha,ok
anh có anh_chị_em không,có
mua kẹo tết chưa,chưa
bạn có hay về quê chơi không,có chứ bạn 1 năm mình về 2 lần
đánh bida không bạn,thôi mất_công dọn bàn nữa
hiện_tại bạn đang làm gì,mình đang đi học và chưa đi làm
cho mình hỏi bạn có thích làm ở công_ty mới không,mình khá là hứng_thú với công_ty của mình
bạn có yêu quê_hương không,yêu nhiều
ngành cậu chọn là làm gì trong thực_tế,code dạo bạn ơi
giá sản_phẩm là bao_nhiêu ạ,bạn cần tư_vấn sản_phẩm nào ạ
mày có tin vào tình_yêu không,có
cho mình hỏi hiện_tại bạn sống ở đâu,mình đang sống ở tphcm
bạn thường nghe ca_sĩ nào,tại hạ nghe nhiều nhưng không nhớ tên ca_sĩ
nếu chị đang hẹn_hò với một người thì chị sẽ thích làm gì khi hẹn_hò,chị thích đi vòng ngắm thành_phố la_cà ăn đây_đó vì chị thích ăn lắm
mình thắc có mắc là bạn học ngành gì,mình học công_nghệ thông_tin còn bạn học ngành gì
đi làm gặp rồi hay sao thế,không ở cùng khu trọ
cuối tuần đi ăn lẩu không bà,đi luôn gửi địa_chỉ cho tôi đi
có bán ram kingston không,có
đóng học_phí thế_nào ạ,em đóng theo hướng_dẫn trên hệ_thống thông_tin sinh_viên trường nhé
lễ này bạn có đi đâu chơi không,không mình sẽ dành thời_gian bên gia_đình
tiếc thật việt nam đá hay mà mày không xem,tỉ_số bao_nhiêu vậy
thích xem phim thể_loại gì,hành_động
bạn có thường_xuyên về quê nhà chơi không,mình cách 1 năm về một lần
có người_yêu,độc_thân
khi nào đi,hè
bạn thích sự lãng_mạn hay thực_tế trong tình_yêu,cả 2 luôn được không
dài 7m ngang 4m,giá_cả
có hay cáu bẩn không,đám bạn mình là dơ
bạn từng trải qua bao_nhiêu mối tình rồi,đếm trên đầu ngón tay à bạn do mình là người sống hơi nội_tâm
bạn tên gì vây ah,tui tên nam nguyễn hoàng_nam
quần tây chất_liệu gì,cotton
nữa tiếng nữa anh rước em nha,dạ_vậy em chuẩn_bị trước
bạn có đi ăn_không mình đi chung với nhau đi,cũng được đó mình cũng hơi đói rồi
nhạc gì đang hot,điều anh luôn giữ kín trong tim
quê người_yêu cậu ở đâu,quê người_yêu mình ở đồng_tháp
mua áo hay quần,quần
bữa trước về quê tao thấy như nào,thích vãi luôn tao thích mấy chỗ như_vậy
mua đồ hết bao_nhiêu tiền rồi,tầm 7 củ
